date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:55:15	4505/4505	---MCZ	200	added ('OK')	application/javascript	etag:%22cd7055cead5d201f6aaead6a210cc9ae-ssl-df%22	https://moremedia.tv/_nuxt/static/1638563753/news/c/press/payload.js	moremedia.tv/_nuxt/static/1638563753/news/c/press/payload.js	(from https://moremedia.tv/news/c/press/)
02:55:16	12643/12643	---MCZ	200	added ('OK')	application/javascript	etag:%2261370af5da20e5affec35407a0c525b7-ssl-df%22	https://moremedia.tv/_nuxt/3613ce2.js	moremedia.tv/_nuxt/3613ce2.js	(from https://moremedia.tv/news/p/david-quinn-has-an-incredible-mindbeacon/)
02:55:17	44513/44513	---MCZ	200	added ('OK')	application/javascript	etag:%2258c210562b580e011987c3d3bbbcd4dc-ssl-df%22	https://moremedia.tv/_nuxt/d873a45.js	moremedia.tv/_nuxt/d873a45.js	(from https://moremedia.tv/news/p/david-quinn-has-an-incredible-mindbeacon/)
02:55:18	1323/1323	---M-Z	200	added ('OK')	application/javascript	etag:%222c205061b85cda33c71749022a8be56a-ssl-df%22	https://moremedia.tv/_nuxt/eddc6f7.js	moremedia.tv/_nuxt/eddc6f7.js	(from https://moremedia.tv/news/p/david-quinn-has-an-incredible-mindbeacon/)
02:55:18	2856/2856	---M-Z	200	added ('OK')	application/javascript	etag:%22796bcb6baa8b70ab1fa86a7d55fdbd09-ssl-df%22	https://moremedia.tv/_nuxt/455672d.js	moremedia.tv/_nuxt/455672d.js	(from https://moremedia.tv/news/p/david-quinn-has-an-incredible-mindbeacon/)
02:55:19	1156/1156	---M-Z	200	added ('OK')	application/javascript	etag:%221f9bbc13d98ce7ef3ef8bfc2d443a597-ssl-df%22	https://moremedia.tv/_nuxt/static/1638563753/news/p/david-quinn-has-an-incredible-mindbeacon/state.js	moremedia.tv/_nuxt/static/1638563753/news/p/david-quinn-has-an-incredible-mindbeacon/state.js	(from https://moremedia.tv/news/p/david-quinn-has-an-incredible-mindbeacon/)
02:55:21	6448/6448	---MCZ	200	added ('OK')	application/javascript	etag:%22a1bd74fa7e3c4029db5573d6ca2703ba-ssl-df%22	https://moremedia.tv/_nuxt/static/1638563753/news/p/david-quinn-has-an-incredible-mindbeacon/payload.js	moremedia.tv/_nuxt/static/1638563753/news/p/david-quinn-has-an-incredible-mindbeacon/payload.js	(from https://moremedia.tv/news/p/david-quinn-has-an-incredible-mindbeacon/)
02:55:22	8801/8801	---MCZ	200	added ('OK')	application/javascript	etag:%228014718d36c2879c72fa1e147db0c4ee-ssl-df%22	https://moremedia.tv/_nuxt/4c1c28e.js	moremedia.tv/_nuxt/4c1c28e.js	(from https://moremedia.tv/news/p/ben-bermans-latest-doc/)
02:55:23	1138/1138	---M-Z	200	added ('OK')	application/javascript	etag:%22a1b140491822e8860cf2aa29152ffb02-ssl-df%22	https://moremedia.tv/_nuxt/static/1638563753/news/p/ben-bermans-latest-doc/state.js	moremedia.tv/_nuxt/static/1638563753/news/p/ben-bermans-latest-doc/state.js	(from https://moremedia.tv/news/p/ben-bermans-latest-doc/)
02:55:24	8307/8307	---MCZ	200	added ('OK')	application/javascript	etag:%226c8830f53d9636c8571370be5889eaa5-ssl-df%22	https://moremedia.tv/_nuxt/static/1638563753/news/p/ben-bermans-latest-doc/payload.js	moremedia.tv/_nuxt/static/1638563753/news/p/ben-bermans-latest-doc/payload.js	(from https://moremedia.tv/news/p/ben-bermans-latest-doc/)
